,,,,,,from days,from death,,,,,,,
20,0,2,1,214,1247567,5,5750,,,,,,,
6,0,1,24,215,1247570,6,5753,,,,,,,
8,0,1,2,215,1247572,6,5755,,,,,,,
13,0,2,21,214,1247572,5,5755,,,,,,,
16,0,2,4,215,1247572,6,5755,,,,,,,
8,0,1,23,218,1247573,9,5756,,,,,,,
9,0,1,1,214,1247573,5,5756,,,,,,,
16,0,2,7,214,1247573,5,5756,,,,,,,
18,0,2,2,214,1247573,5,5756,,,,,,,
6,0,1,6,214,1247575,5,5758,,,,,,,
12,0,2,12,214,1247575,5,5758,,,,,,,
15,0,2,6,214,1247576,5,5759,,,,,,,
17,0,2,4,214,1247578,5,5761,,,,,,,
6,0,1,18,218,1247583,9,5766,,,,,,,
15,0,2,21,218,1247588,9,5771,,,,,,,
13,0,2,20,218,1247589,9,5772,,,,,,,
21,0,2,0,214,1247589,5,5772,,,,,,,
13,0,2,12,214,1247591,5,5774,,,,,,,
15,0,2,8,214,1247592,5,5775,,,,,,,
7,0,1,7,218,1247601,9,5784,,,,,,,
7,0,1,11,215,1247601,6,5784,,,,,,,
14,0,2,14,218,1247601,9,5784,,,,,,,
14,0,2,22,215,1247601,6,5784,,,,,,,
13,0,2,16,218,1247602,9,5785,,,,,,,
15,0,2,4,214,1247604,5,5787,,,,,,,
6,0,1,4,214,1247606,5,5789,,,,,,,
12,0,2,8,214,1247606,5,5789,,,,,,,
11,0,2,22,214,1247608,5,5791,,,,,,,
13,0,2,17,218,1247609,9,5792,,,,,,,
13,0,2,9,214,1247611,5,5794,,,,,,,
14,0,2,13,218,1247611,9,5794,,,,,,,
15,0,2,3,214,1247611,5,5794,,,,,,,
6,0,1,8,214,1247613,5,5796,,,,,,,
12,0,2,16,214,1247613,5,5796,,,,,,,
10,0,1,0,214,1247614,5,5797,,,,,,,
20,0,2,0,214,1247614,5,5797,,,,,,,
19,0,2,1,214,1247616,5,5799,,,,,,,
6,0,1,13,218,1247619,9,5802,,,,,,,
6,0,1,19,218,1247626,9,5809,,,,,,,
7,0,1,9,214,1247627,5,5810,,,,,,,
12,0,2,23,218,1247627,9,5810,,,,,,,
14,0,2,18,214,1247627,5,5810,,,,,,,
6,0,1,16,218,1247628,9,5811,,,,,,,
12,0,2,15,215,1247628,6,5811,,,,,,,
6,0,1,7,215,1247631,6,5814,,,,,,,
6,0,1,11,214,1247631,5,5814,,,,,,,
12,0,2,14,215,1247631,6,5814,,,,,,,
12,0,2,22,214,1247631,5,5814,,,,,,,
13,0,2,19,214,1247634,5,5817,,,,,,,
14,0,2,7,214,1247634,5,5817,,,,,,,
16,0,2,3,214,1247634,5,5817,,,,,,,
11,0,2,21,218,1247638,9,5821,,,,,,,
7,0,1,3,218,1247639,9,5822,,,,,,,
14,0,2,6,218,1247639,9,5822,,,,,,,
17,0,2,2,214,1247640,5,5823,,,,,,,
6,0,1,5,214,1247642,5,5825,,,,,,,
12,0,2,10,214,1247642,5,5825,,,,,,,
19,0,2,0,214,1247642,5,5825,,,,,,,
18,0,2,1,214,1247643,5,5826,,,,,,,
6,0,1,20,218,1247645,9,5828,,,,,,,
13,0,2,4,214,1247645,5,5828,,,,,,,
8,0,1,1,214,1247649,5,5832,,,,,,,
8,0,1,14,214,1247649,5,5832,,,,,,,
16,0,2,2,214,1247649,5,5832,,,,,,,
17,0,2,3,214,1247650,5,5833,,,,,,,
11,0,2,24,218,1247651,9,5834,,,,,,,
13,0,2,11,214,1247654,5,5837,,,,,,,
7,0,1,4,214,1247663,5,5846,,,,,,,
14,0,2,8,214,1247663,5,5846,,,,,,,
14,0,2,9,214,1247664,5,5847,,,,,,,
12,0,2,19,218,1247667,9,5850,,,,,,,
17,0,2,1,214,1247670,5,5853,,,,,,,
11,0,2,19,218,1247673,9,5856,,,,,,,
6,0,1,10,218,1247674,9,5857,,,,,,,
9,0,1,0,214,1247674,5,5857,,,,,,,
12,0,2,20,218,1247674,9,5857,,,,,,,
18,0,2,0,214,1247674,5,5857,,,,,,,
13,0,2,5,214,1247675,5,5858,,,,,,,
13,0,2,7,214,1247676,5,5859,,,,,,,
13,0,2,23,214,1247681,5,5864,,,,,,,
13,0,2,6,214,1247683,5,5866,,,,,,,
12,0,2,21,214,1247684,5,5867,,,,,,,
6,0,1,17,215,1247688,6,5871,,,,,,,
12,0,2,11,218,1247695,9,5878,,,,,,,
12,0,2,9,218,1247697,9,5880,,,,,,,
13,0,2,18,214,1247698,5,5881,,,,,,,
14,0,2,5,218,1247700,9,5883,,,,,,,
11,0,2,15,214,1247702,5,5885,,,,,,,
5,0,1,10,215,1247706,6,5889,,,,,,,
10,0,2,20,215,1247706,6,5889,,,,,,,
6,0,1,23,218,1247710,9,5893,,,,,,,
11,0,2,6,214,1247710,5,5893,,,,,,,
12,0,2,5,218,1247710,9,5893,,,,,,,
17,0,2,0,214,1247712,5,5895,,,,,,,
5,0,1,16,215,1247714,6,5897,,,,,,,
11,0,2,16,218,1247719,9,5902,,,,,,,
12,0,2,7,214,1247720,5,5903,,,,,,,
5,0,1,14,215,1247724,6,5907,,,,,,,
12,0,2,17,218,1247726,9,5909,,,,,,,
16,0,2,1,214,1247731,5,5914,,,,,,,
7,0,1,1,214,1247732,5,5915,,,,,,,
11,0,2,18,218,1247732,9,5915,,,,,,,
12,0,2,13,214,1247732,5,5915,,,,,,,
14,0,2,2,214,1247732,5,5915,,,,,,,
15,0,2,2,214,1247732,5,5915,,,,,,,
5,0,1,6,214,1247734,5,5917,,,,,,,
10,0,2,12,214,1247734,5,5917,,,,,,,
5,0,1,13,218,1247740,9,5923,,,,,,,
7,0,1,2,214,1247741,5,5924,,,,,,,
14,0,2,4,214,1247741,5,5924,,,,,,,
5,0,1,12,218,1247742,9,5925,,,,,,,
10,0,2,24,218,1247742,9,5925,,,,,,,
5,0,1,18,215,1247744,6,5927,,,,,,,
5,0,1,21,218,1247747,9,5930,,,,,,,
5,0,1,24,215,1247748,6,5931,,,,,,,
11,0,2,9,218,1247748,9,5931,,,,,,,
6,0,1,3,214,1247749,5,5932,,,,,,,
12,0,2,6,214,1247749,5,5932,,,,,,,
8,0,1,0,214,1247752,5,5935,,,,,,,
11,0,2,13,214,1247752,5,5935,,,,,,,
16,0,2,0,214,1247752,5,5935,,,,,,,
11,0,2,11,218,1247757,9,5940,,,,,,,
11,0,2,23,218,1247759,9,5942,,,,,,,
9,0,2,16,214,1247762,5,5945,,,,,,,
4,0,1,23,218,1247765,9,5948,,,,,,,
15,0,2,1,214,1247768,5,5951,,,,,,,
14,0,2,3,214,1247769,5,5952,,,,,,,
10,0,2,13,214,1247773,5,5956,,,,,,,
11,0,2,20,214,1247773,5,5956,,,,,,,
11,0,2,10,218,1247774,9,5957,,,,,,,
11,0,2,12,218,1247774,9,5957,,,,,,,
5,0,1,23,214,1247777,5,5960,,,,,,,
5,0,1,19,215,1247779,6,5962,,,,,,,
4,0,1,19,218,1247781,9,5964,,,,,,,
9,0,2,23,214,1247781,5,5964,,,,,,,
9,0,2,24,218,1247783,9,5966,,,,,,,
13,0,2,3,214,1247783,5,5966,,,,,,,
11,0,2,8,218,1247784,9,5967,,,,,,,
5,0,1,22,218,1247786,9,5969,,,,,,,
10,0,2,23,215,1247786,6,5969,,,,,,,
14,0,2,1,214,1247787,5,5970,,,,,,,
11,0,2,17,214,1247788,5,5971,,,,,,,
12,0,2,3,214,1247788,5,5971,,,,,,,
9,0,2,14,214,1247790,5,5973,,,,,,,
11,0,2,7,214,1247793,5,5976,,,,,,,
6,0,1,2,214,1247794,5,5977,,,,,,,
12,0,2,4,214,1247794,5,5977,,,,,,,
4,0,1,14,218,1247797,9,5980,,,,,,,
5,0,1,7,214,1247797,5,5980,,,,,,,
10,0,2,14,214,1247797,5,5980,,,,,,,
15,0,2,0,214,1247798,5,5981,,,,,,,
10,0,2,11,214,1247800,5,5983,,,,,,,
4,0,1,22,218,1247802,9,5985,,,,,,,
13,0,2,2,214,1247809,5,5992,,,,,,,
4,0,1,20,214,1247813,5,5996,,,,,,,
5,0,1,8,214,1247815,5,5998,,,,,,,
10,0,2,16,214,1247815,5,5998,,,,,,,
9,0,2,21,218,1247818,9,6001,,,,,,,
9,0,2,22,215,1247818,6,6001,,,,,,,
10,0,2,15,215,1247823,6,6006,,,,,,,
5,0,1,20,218,1247826,9,6009,,,,,,,
9,0,2,17,214,1247837,5,6020,,,,,,,
4,0,1,12,214,1247838,5,6021,,,,,,,
8,0,2,24,214,1247838,5,6021,,,,,,,
11,0,2,5,218,1247839,9,6022,,,,,,,
5,0,1,15,214,1247841,5,6024,,,,,,,
10,0,2,9,214,1247841,5,6024,,,,,,,
8,0,2,19,218,1247842,9,6025,,,,,,,
10,0,2,19,215,1247842,6,6025,,,,,,,
5,0,1,5,214,1247843,5,6026,,,,,,,
10,0,2,10,214,1247843,5,6026,,,,,,,
7,0,1,0,214,1247848,5,6031,,,,,,,
14,0,2,0,214,1247848,5,6031,,,,,,,
4,0,1,15,218,1247849,9,6032,,,,,,,
11,0,2,14,214,1247853,5,6036,,,,,,,
10,0,2,5,218,1247854,9,6037,,,,,,,
5,0,1,17,214,1247855,5,6038,,,,,,,
5,0,1,11,214,1247856,5,6039,,,,,,,
9,0,2,20,218,1247856,9,6039,,,,,,,
10,0,2,22,214,1247856,5,6039,,,,,,,
5,0,1,9,214,1247859,5,6042,,,,,,,
9,0,2,19,218,1247859,9,6042,,,,,,,
10,0,2,18,214,1247859,5,6042,,,,,,,
4,0,1,13,218,1247863,9,6046,,,,,,,
13,0,2,1,214,1247867,5,6050,,,,,,,
4,0,1,21,218,1247869,9,6052,,,,,,,
4,0,1,10,218,1247870,9,6053,,,,,,,
8,0,2,20,218,1247870,9,6053,,,,,,,
11,0,2,4,214,1247870,5,6053,,,,,,,
5,0,1,2,214,1247873,5,6056,,,,,,,
10,0,2,4,214,1247873,5,6056,,,,,,,
10,0,2,7,214,1247876,5,6059,,,,,,,
10,0,2,17,214,1247883,5,6066,,,,,,,
5,0,1,4,214,1247887,5,6070,,,,,,,
10,0,2,8,214,1247887,5,6070,,,,,,,
4,0,1,16,218,1247888,9,6071,,,,,,,
8,0,2,21,218,1247895,9,6078,,,,,,,
6,0,1,1,214,1247896,5,6079,,,,,,,
12,0,2,2,214,1247896,5,6079,,,,,,,
8,0,2,23,218,1247903,9,6086,,,,,,,
8,0,2,17,218,1247904,9,6087,,,,,,,
8,0,2,15,214,1247906,5,6089,,,,,,,
10,0,2,21,214,1247906,5,6089,,,,,,,
13,0,2,0,214,1247907,5,6090,,,,,,,
5,0,1,3,214,1247915,5,6098,,,,,,,
10,0,2,6,214,1247915,5,6098,,,,,,,
9,0,2,15,214,1247919,5,6102,,,,,,,
4,0,1,4,214,1247921,5,6104,,,,,,,
8,0,2,8,214,1247921,5,6104,,,,,,,
12,0,2,1,214,1247932,5,6115,,,,,,,
4,0,1,8,218,1247937,9,6120,,,,,,,
8,0,2,16,218,1247937,9,6120,,,,,,,
10,0,2,3,214,1247938,5,6121,,,,,,,
9,0,2,6,214,1247939,5,6122,,,,,,,
9,0,2,11,214,1247941,5,6124,,,,,,,
11,0,2,3,214,1247944,5,6127,,,,,,,
4,0,1,24,215,1247945,6,6128,,,,,,,
4,0,1,17,215,1247952,6,6135,,,,,,,
9,0,2,9,214,1247954,5,6137,,,,,,,
4,0,1,7,214,1247958,5,6141,,,,,,,
8,0,2,14,214,1247958,5,6141,,,,,,,
9,0,2,10,214,1247959,5,6142,,,,,,,
9,0,2,18,214,1247959,5,6142,,,,,,,
4,0,1,6,218,1247960,9,6143,,,,,,,
7,0,2,21,215,1247960,6,6143,,,,,,,
8,0,2,12,218,1247960,9,6143,,,,,,,
9,0,2,13,214,1247960,5,6143,,,,,,,
11,0,2,2,214,1247965,5,6148,,,,,,,
9,0,2,12,218,1247968,9,6151,,,,,,,
6,0,1,0,214,1247976,5,6159,,,,,,,
12,0,2,0,214,1247976,5,6159,,,,,,,
9,0,2,8,214,1247979,5,6162,,,,,,,
4,0,1,11,218,1247981,9,6164,,,,,,,
8,0,2,22,218,1247981,9,6164,,,,,,,
4,0,1,18,218,1247986,9,6169,,,,,,,
9,0,2,7,214,1247991,5,6174,,,,,,,
7,0,2,23,218,1247995,9,6178,,,,,,,
5,0,1,1,214,1248005,5,6188,,,,,,,
9,0,2,5,214,1248005,5,6188,,,,,,,
10,0,2,2,214,1248005,5,6188,,,,,,,
8,0,2,11,214,1248008,5,6191,,,,,,,
8,0,2,9,214,1248017,5,6200,,,,,,,
4,0,1,9,215,1248021,6,6204,,,,,,,
8,0,2,18,215,1248021,6,6204,,,,,,,
11,0,2,1,214,1248024,5,6207,,,,,,,
9,0,2,4,214,1248028,5,6211,,,,,,,
4,0,1,5,214,1248037,5,6220,,,,,,,
8,0,2,10,214,1248037,5,6220,,,,,,,
7,0,2,22,214,1248039,5,6222,,,,,,,
4,0,1,3,214,1248046,5,6229,,,,,,,
8,0,2,6,214,1248046,5,6229,,,,,,,
8,0,2,7,214,1248059,5,6242,,,,,,,
11,0,2,0,214,1248061,5,6244,,,,,,,
8,0,2,13,214,1248067,5,6250,,,,,,,
9,0,2,3,214,1248073,5,6256,,,,,,,
7,0,2,13,218,1248077,9,6260,,,,,,,
7,0,2,17,218,1248081,9,6264,,,,,,,
7,0,2,9,214,1248082,5,6265,,,,,,,
7,0,2,14,215,1248084,6,6267,,,,,,,
7,0,2,10,214,1248096,5,6279,,,,,,,
7,0,2,20,214,1248100,5,6283,,,,,,,
7,0,2,12,214,1248102,5,6285,,,,,,,
7,0,2,24,215,1248104,6,6287,,,,,,,
10,0,2,1,214,1248107,5,6290,,,,,,,
3,0,1,18,214,1248114,5,6297,,,,,,,
3,0,1,23,218,1248120,9,6303,,,,,,,
6,0,2,23,215,1248125,6,6308,,,,,,,
9,0,2,2,214,1248127,5,6310,,,,,,,
3,0,1,13,218,1248130,9,6313,,,,,,,
7,0,2,18,218,1248134,9,6317,,,,,,,
7,0,2,5,214,1248141,5,6324,,,,,,,
3,0,1,15,215,1248143,6,6326,,,,,,,
7,0,2,11,214,1248164,5,6347,,,,,,,
3,0,1,20,214,1248165,5,6348,,,,,,,
5,0,1,0,214,1248165,5,6348,,,,,,,
10,0,2,0,214,1248165,5,6348,,,,,,,
4,0,1,2,214,1248179,5,6362,,,,,,,
8,0,2,4,214,1248179,5,6362,,,,,,,
8,0,2,3,214,1248183,5,6366,,,,,,,
7,0,2,15,214,1248184,5,6367,,,,,,,
7,0,2,19,214,1248187,5,6370,,,,,,,
3,0,1,14,215,1248189,6,6372,,,,,,,
8,0,2,5,214,1248192,5,6375,,,,,,,
3,0,1,7,214,1248197,5,6380,,,,,,,
6,0,2,14,214,1248197,5,6380,,,,,,,
7,0,2,8,214,1248198,5,6381,,,,,,,
3,0,1,10,218,1248201,9,6384,,,,,,,
6,0,2,15,214,1248201,5,6384,,,,,,,
6,0,2,20,218,1248201,9,6384,,,,,,,
7,0,2,16,214,1248204,5,6387,,,,,,,
3,0,1,24,214,1248206,5,6389,,,,,,,
3,0,1,21,214,1248208,5,6391,,,,,,,
7,0,2,6,214,1248214,5,6397,,,,,,,
3,0,1,11,215,1248219,6,6402,,,,,,,
6,0,2,22,215,1248219,6,6402,,,,,,,
3,0,1,5,214,1248223,5,6406,,,,,,,
6,0,2,10,214,1248223,5,6406,,,,,,,
9,0,2,1,214,1248224,5,6407,,,,,,,
3,0,1,22,218,1248238,9,6421,,,,,,,
7,0,2,7,214,1248238,5,6421,,,,,,,
4,0,1,1,214,1248240,5,6423,,,,,,,
8,0,2,2,214,1248240,5,6423,,,,,,,
6,0,2,19,214,1248243,5,6426,,,,,,,
6,0,2,17,214,1248244,5,6427,,,,,,,
6,0,2,13,214,1248258,5,6441,,,,,,,
23,1,2,17,214,1248258,5,6441,,,,,,,
3,0,1,9,214,1248260,5,6443,,,,,,,
6,0,2,18,214,1248260,5,6443,,,,,,,
23,1,2,16,214,1248273,5,6456,,,,,,,
3,0,1,17,214,1248277,5,6460,,,,,,,
6,0,2,11,214,1248284,5,6467,,,,,,,
23,1,2,21,214,1248287,5,6470,,,,,,,
9,0,2,0,214,1248298,5,6481,,,,,,,
3,0,1,6,214,1248299,5,6482,,,,,,,
6,0,2,12,214,1248299,5,6482,,,,,,,
24,1,2,24,214,1248301,5,6484,,,,,,,
3,0,1,12,214,1248303,5,6486,,,,,,,
6,0,2,24,214,1248303,5,6486,,,,,,,
7,0,2,3,214,1248308,5,6491,,,,,,,
3,0,1,8,214,1248316,5,6499,,,,,,,
5,0,2,24,215,1248316,6,6499,,,,,,,
6,0,2,16,214,1248316,5,6499,,,,,,,
7,0,2,4,214,1248318,5,6501,,,,,,,
23,1,2,20,214,1248318,5,6501,,,,,,,
3,0,1,19,214,1248319,5,6502,,,,,,,
5,0,2,16,218,1248320,9,6503,,,,,,,
24,1,2,22,214,1248320,5,6503,,,,,,,
3,0,1,3,214,1248322,5,6505,,,,,,,
6,0,2,6,214,1248322,5,6505,,,,,,,
22,1,2,16,214,1248330,5,6513,,,,,,,
5,0,2,14,214,1248334,5,6517,,,,,,,
22,1,2,17,214,1248334,5,6517,,,,,,,
8,0,2,1,214,1248338,5,6521,,,,,,,
22,1,2,18,214,1248338,5,6521,,,,,,,
23,1,2,23,214,1248340,5,6523,,,,,,,
20,1,2,20,214,1248343,5,6526,,,,,,,
23,1,2,15,214,1248345,5,6528,,,,,,,
23,1,2,22,214,1248347,5,6530,,,,,,,
24,1,2,16,214,1248347,5,6530,,,,,,,
5,0,2,18,214,1248348,5,6531,,,,,,,
5,0,2,20,214,1248350,5,6533,,,,,,,
23,1,2,24,214,1248353,5,6536,,,,,,,
24,1,2,17,214,1248354,5,6537,,,,,,,
24,1,2,19,214,1248361,5,6544,,,,,,,
6,0,2,21,214,1248362,5,6545,,,,,,,
22,1,2,19,214,1248362,5,6545,,,,,,,
23,1,2,19,214,1248362,5,6545,,,,,,,
21,1,2,16,214,1248363,5,6546,,,,,,,
7,0,2,2,214,1248366,5,6549,,,,,,,
24,1,2,14,214,1248369,5,6552,,,,,,,
24,1,2,23,214,1248369,5,6552,,,,,,,
24,1,2,21,214,1248373,5,6556,,,,,,,
24,1,2,15,214,1248376,5,6559,,,,,,,
22,1,2,22,214,1248382,5,6565,,,,,,,
22,1,2,15,214,1248384,5,6567,,,,,,,
6,0,2,9,214,1248387,5,6570,,,,,,,
24,1,2,11,214,1248390,5,6573,,,,,,,
5,0,2,15,215,1248392,6,6575,,,,,,,
21,1,2,15,214,1248392,5,6575,,,,,,,
24,1,2,12,214,1248392,5,6575,,,,,,,
21,1,2,17,214,1248393,5,6576,,,,,,,
3,0,1,2,214,1248404,5,6587,,,,,,,
6,0,2,4,214,1248404,5,6587,,,,,,,
6,0,2,5,214,1248404,5,6587,,,,,,,
20,1,2,23,214,1248406,5,6589,,,,,,,
5,0,2,17,214,1248407,5,6590,,,,,,,
24,1,2,10,214,1248407,5,6590,,,,,,,
6,0,2,7,214,1248411,5,6594,,,,,,,
24,1,2,20,214,1248411,5,6594,,,,,,,
21,1,2,22,214,1248412,5,6595,,,,,,,
21,1,2,11,214,1248413,5,6596,,,,,,,
20,1,2,24,214,1248414,5,6597,,,,,,,
21,1,2,20,214,1248414,5,6597,,,,,,,
24,1,2,13,214,1248415,5,6598,,,,,,,
23,1,2,13,214,1248416,5,6599,,,,,,,
24,1,2,18,214,1248417,5,6600,,,,,,,
22,1,2,23,214,1248419,5,6602,,,,,,,
24,1,2,9,214,1248419,5,6602,,,,,,,
5,0,2,22,215,1248420,6,6603,,,,,,,
23,1,2,18,214,1248421,5,6604,,,,,,,
22,1,2,13,214,1248422,5,6605,,,,,,,
5,0,2,23,218,1248423,9,6606,,,,,,,
3,0,1,16,214,1248424,5,6607,,,,,,,
23,1,2,12,214,1248426,5,6609,,,,,,,
23,1,2,14,214,1248427,5,6610,,,,,,,
20,1,2,22,214,1248428,5,6611,,,,,,,
23,1,2,10,214,1248429,5,6612,,,,,,,
20,1,2,18,214,1248433,5,6616,,,,,,,
21,1,2,12,214,1248436,5,6619,,,,,,,
19,1,2,20,214,1248437,5,6620,,,,,,,
4,0,1,0,214,1248442,5,6625,,,,,,,
8,0,2,0,214,1248442,5,6625,,,,,,,
3,0,1,4,214,1248445,5,6628,,,,,,,
6,0,2,8,214,1248445,5,6628,,,,,,,
23,1,2,9,214,1248445,5,6628,,,,,,,
22,1,2,24,214,1248446,5,6629,,,,,,,
19,1,2,24,214,1248451,5,6634,,,,,,,
21,1,2,14,214,1248452,5,6635,,,,,,,
21,1,2,19,214,1248456,5,6639,,,,,,,
22,1,2,21,214,1248464,5,6647,,,,,,,
24,1,1,18,213,1248464,4,6647,,,,,,,
24,1,2,8,214,1248464,5,6647,,,,,,,
20,1,2,15,214,1248465,5,6648,,,,,,,
21,1,2,24,214,1248467,5,6650,,,,,,,
23,1,2,11,214,1248468,5,6651,,,,,,,
24,1,1,23,213,1248469,4,6652,,,,,,,
18,1,2,17,214,1248473,5,6656,,,,,,,
20,1,2,16,214,1248474,5,6657,,,,,,,
6,0,2,3,214,1248477,5,6660,,,,,,,
20,1,2,13,214,1248480,5,6663,,,,,,,
21,1,2,10,214,1248482,5,6665,,,,,,,
18,1,2,19,214,1248485,5,6668,,,,,,,
22,1,2,20,214,1248488,5,6671,,,,,,,
24,1,1,17,214,1248490,5,6673,,,,,,,
7,0,2,1,214,1248493,5,6676,,,,,,,
5,0,2,21,215,1248495,6,6678,,,,,,,
21,1,2,13,214,1248495,5,6678,,,,,,,
5,0,2,12,214,1248497,5,6680,,,,,,,
21,1,2,23,214,1248497,5,6680,,,,,,,
5,0,2,11,214,1248499,5,6682,,,,,,,
20,1,2,17,214,1248499,5,6682,,,,,,,
24,1,1,20,213,1248501,4,6684,,,,,,,
23,1,2,7,214,1248505,5,6688,,,,,,,
2,0,1,16,215,1248506,6,6689,,,,,,,
23,1,2,8,214,1248507,5,6690,,,,,,,
19,1,2,12,214,1248508,5,6691,,,,,,,
21,1,2,18,214,1248508,5,6691,,,,,,,
22,1,2,7,214,1248508,5,6691,,,,,,,
22,1,2,10,214,1248509,5,6692,,,,,,,
22,1,2,14,214,1248510,5,6693,,,,,,,
22,1,2,8,214,1248513,5,6696,,,,,,,
18,1,2,16,214,1248514,5,6697,,,,,,,
18,1,2,21,214,1248514,5,6697,,,,,,,
22,1,2,12,214,1248514,5,6697,,,,,,,
24,1,2,7,214,1248514,5,6697,,,,,,,
24,1,2,6,214,1248516,5,6699,,,,,,,
24,1,1,15,213,1248517,4,6700,,,,,,,
22,1,2,9,214,1248518,5,6701,,,,,,,
5,0,2,13,214,1248519,5,6702,,,,,,,
22,1,2,11,214,1248520,5,6703,,,,,,,
21,1,2,6,214,1248521,5,6704,,,,,,,
5,0,2,19,214,1248523,5,6706,,,,,,,
18,1,2,24,214,1248525,5,6708,,,,,,,
21,1,2,9,214,1248526,5,6709,,,,,,,
23,1,2,5,214,1248526,5,6709,,,,,,,
19,1,2,21,214,1248527,5,6710,,,,,,,
20,1,2,19,214,1248527,5,6710,,,,,,,
21,1,2,8,214,1248527,5,6710,,,,,,,
18,1,2,10,214,1248528,5,6711,,,,,,,
22,1,1,21,213,1248528,4,6711,,,,,,,
2,0,1,24,215,1248530,6,6713,,,,,,,
23,1,1,15,214,1248531,5,6714,,,,,,,
24,1,1,22,213,1248533,4,6716,,,,,,,
19,1,2,16,214,1248536,5,6719,,,,,,,
19,1,2,23,214,1248536,5,6719,,,,,,,
20,1,2,21,214,1248537,5,6720,,,,,,,
21,1,2,21,214,1248537,5,6720,,,,,,,
20,1,2,11,214,1248539,5,6722,,,,,,,
24,1,1,24,213,1248541,4,6724,,,,,,,
16,1,2,22,214,1248542,5,6725,,,,,,,
20,1,2,9,214,1248543,5,6726,,,,,,,
21,1,2,7,214,1248543,5,6726,,,,,,,
5,0,2,8,214,1248544,5,6727,,,,,,,
23,1,2,4,214,1248544,5,6727,,,,,,,
19,1,2,18,214,1248545,5,6728,,,,,,,
19,1,2,19,214,1248545,5,6728,,,,,,,
18,1,2,14,214,1248547,5,6730,,,,,,,
24,1,1,21,214,1248548,5,6731,,,,,,,
23,1,1,16,214,1248549,5,6732,,,,,,,
19,1,2,13,214,1248550,5,6733,,,,,,,
19,1,2,14,214,1248550,5,6733,,,,,,,
3,0,1,1,214,1248551,5,6734,,,,,,,
6,0,2,2,214,1248551,5,6734,,,,,,,
19,1,1,23,213,1248557,4,6740,,,,,,,
20,1,2,10,214,1248558,5,6741,,,,,,,
22,1,1,24,214,1248559,5,6742,,,,,,,
20,1,2,8,214,1248562,5,6745,,,,,,,
24,1,2,5,214,1248564,5,6747,,,,,,,
23,1,1,13,213,1248565,4,6748,,,,,,,
24,1,1,11,214,1248566,5,6749,,,,,,,
18,1,2,18,214,1248567,5,6750,,,,,,,
22,1,1,13,213,1248567,4,6750,,,,,,,
24,1,1,12,214,1248567,5,6750,,,,,,,
5,0,2,7,214,1248568,5,6751,,,,,,,
17,1,2,21,214,1248568,5,6751,,,,,,,
20,1,2,14,214,1248568,5,6751,,,,,,,
19,1,2,15,214,1248570,5,6753,,,,,,,
23,1,2,6,214,1248570,5,6753,,,,,,,
24,1,2,2,214,1248570,5,6753,,,,,,,
17,1,2,22,214,1248571,5,6754,,,,,,,
21,1,1,17,213,1248571,4,6754,,,,,,,
24,1,1,19,214,1248571,5,6754,,,,,,,
18,1,2,13,214,1248572,5,6755,,,,,,,
19,1,2,17,214,1248572,5,6755,,,,,,,
24,1,2,4,214,1248572,5,6755,,,,,,,
24,1,1,16,213,1248573,4,6756,,,,,,,
19,1,1,19,213,1248574,4,6757,,,,,,,
24,1,1,9,214,1248574,5,6757,,,,,,,
18,1,2,23,214,1248575,5,6758,,,,,,,
2,0,1,15,215,1248576,6,6759,,,,,,,
22,1,2,6,214,1248578,5,6761,,,,,,,
23,1,1,18,214,1248578,5,6761,,,,,,,
23,1,1,17,214,1248580,5,6763,,,,,,,
24,1,2,3,214,1248580,5,6763,,,,,,,
21,1,1,23,214,1248581,5,6764,,,,,,,
19,1,2,22,214,1248583,5,6766,,,,,,,
20,1,1,23,213,1248585,4,6768,,,,,,,
23,1,1,19,214,1248586,5,6769,,,,,,,
22,1,2,3,214,1248587,5,6770,,,,,,,
23,1,1,14,214,1248587,5,6770,,,,,,,
24,1,1,14,214,1248587,5,6770,,,,,,,
17,1,2,15,214,1248589,5,6772,,,,,,,
19,1,2,8,214,1248589,5,6772,,,,,,,
20,1,2,12,214,1248589,5,6772,,,,,,,
22,1,1,17,213,1248589,4,6772,,,,,,,
17,1,2,23,214,1248590,5,6773,,,,,,,
20,1,1,21,214,1248591,5,6774,,,,,,,
24,1,1,7,214,1248591,5,6774,,,,,,,
18,1,2,15,214,1248592,5,6775,,,,,,,
21,1,1,20,214,1248593,5,6776,,,,,,,
19,1,2,9,214,1248595,5,6778,,,,,,,
17,1,2,20,214,1248596,5,6779,,,,,,,
23,1,1,21,214,1248596,5,6779,,,,,,,
16,1,2,21,214,1248597,5,6780,,,,,,,
5,0,2,10,214,1248598,5,6781,,,,,,,
17,1,2,24,214,1248598,5,6781,,,,,,,
18,1,1,18,213,1248599,4,6782,,,,,,,
16,1,2,17,214,1248600,5,6783,,,,,,,
18,1,2,20,214,1248600,5,6783,,,,,,,
20,1,2,7,214,1248600,5,6783,,,,,,,
23,1,1,10,213,1248600,4,6783,,,,,,,
2,0,1,12,214,1248601,5,6784,,,,,,,
4,0,2,24,214,1248601,5,6784,,,,,,,
5,0,2,6,214,1248601,5,6784,,,,,,,
22,1,1,18,214,1248602,5,6785,,,,,,,
17,1,2,17,214,1248604,5,6787,,,,,,,
23,1,1,20,214,1248604,5,6787,,,,,,,
